id;word;pos;ttpos;rrnpos;ttlemma;rnnlemma;s_line;position;word2;word2lemma;category;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date;type_full;type
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1038;2 388 843;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;391;2 384 974;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;953;2 388 339;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;2306;2 396 728;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;2009;2 394 924;eusse;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;369;2 384 822;oi;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1434;2 391 292;oi;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;313;2 384 507;ain;aimer;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;2008;2 394 917;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;952;2 388 333;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
amou;j;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;je;y;1298;2 390 458;ai;avoir;VERcjg;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1250;j;1
