id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
fabj;20;6;26;0.769230769230769;56;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);nil;29;77;oui;ms;1250;1285;pic.;pic.;g. nord;pic.;pic.;g. nord;fabliau;fabj;VRAI;1285
fablesA;0;23;23;0;276;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1250;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1250
fablesB;0;17;17;0;277;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1290
fablesC;14;5;19;0.736842105263158;216;nil;nil;Moselle, Meurthe-et-Moselle;NA;NA;24;24;nil;nil;nil;nil;oui;ms;1180;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;lorr.;lorr.;g. nord-est;fable;#N/A;FAUX;1275
fablesE1;1;8;9;0.111111111111111;283;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1225
fablesK;7;4;11;0.636363636363636;295;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1310;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1310
fablesL;4;0;4;1;287;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1290
fablesM;3;1;4;0.75;121;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1300;Nord-Ouest;Nord-Ouest;g. nord-ouest;wall.;wall.;g. nord-est;fable;#N/A;FAUX;1300
fablesT;10;8;18;0.555555555555556;183;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1287;Nord-Ouest;Nord-Ouest;g. nord-ouest;champ.;champ.;g. nord-est;fable;#N/A;FAUX;1287
fablesY;0;6;6;0;296;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;norm. et agn.;NA;NA;nil;#N/A;FAUX;1225
fablesZ;3;4;7;0.428571428571429;289;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1400;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1400
faucon;3;1;4;0.75;67;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;87 (Pas-de-Calais sud-est);nil;29;87;oui;cr;1250;1295;pic.;pic.;g. nord;pic.;pic.;g. nord;poeme moral allegorique où le riche est representï¿_ par un faucon et le pauvre par un poulet;faucon;VRAI;1295
fetrom;0;4;4;0;162;Yonne;Yonne;Yonne;20;20;20;20;81 (Yonne);nil;58;82;non;cr1;1213;1290;frc.;frc.;g. francien;bourg.;bourg.;g. sud-est;roman antique (base sur Lucain);fetrom;VRAI;1290
feu;27;0;27;1;68;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Somme, Pas-de-Calais);1300;26;89;oui;cr3;1276;1295;art.;art.;g. nord;pic.;pic.;g. nord;jeu en octosyllabes;feu;VRAI;1295
flo;2;1;3;0.666666666666667;231;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;74 (Nievre, Allier);1300;85;74;oui;cr1;1213;1300;pic.;pic.;g. nord;est;est;g. est;chanson d'aventure;flo;VRAI;1300
floov;3;2;5;0.6;223;Bourgogne;Bourgogne;Bourgogne;27;27;27;27;84 (Bourgogne);1350;81;84;oui;cr2;1190;1325;Sud-Est;Sud-Est;g. sud-est;bourg.;bourg.;g. sud-est;chanson de geste;floov;VRAI;1325
