Référence	ContexteGauche	Pivot	ContexteDroit
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, contro, 1128, 1 386 698		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fab4f, 704, 1 423 348		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fab4f, 714, 1 423 406		je_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fab4f, 737, 1 423 543		ie_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, vilhar, 1153, 1 531 346		je_je en_en	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, aileo, 110, 1 569 776		iou_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, anth, 715, 1 589 938		je_je en_en	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, bar, 826, 1 655 723		jou_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 25, 1 657 465		ge_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 1786, 1 668 004		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 1907, 1 668 722		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 2197, 1 670 475		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 2646, 1 673 126		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chastoi, 2873, 1 674 458		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, gir, 970, 1 705 567		je_je en_en	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, best, 3494, 1 732 471		jeo_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, hista, 612, 1 768 955		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, hista, 876, 1 776 440		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lin, 371, 1 803 650		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lin, 475, 1 806 828		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lin, 585, 1 809 787		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lin, 789, 1 815 618		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, merlin, 250, 1 822 855		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, merlin, 390, 1 826 035		je_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, mortartu, 107, 1 831 018		ge_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, songe, 22, 1 845 933		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, songe, 427, 1 848 310		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, barlaam, 143, 1 875 805		je_je an_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, barlaam, 184, 1 877 247		ge_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, barlaam, 247, 1 879 293		je_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, barlaam, 251, 1 879 447		ge_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, barlaam, 628, 1 891 825		ge_je i_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, poit, 1172, 1 940 730		ie_je en_en	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, clari2, 1033, 1 988 661		jou_je i_y	
