Référence	ContexteGauche	Pivot	ContexteDroit
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 394, 0 092 867		ie_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 727, 0 095 385		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 888, 0 096 565		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima2, 1235, 0 099 142		ge_je avoie_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 131, 0 101 945		ie_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 462, 0 104 455		ie_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 623, 0 105 613		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima3, 970, 0 108 177		ge_je avoie_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 240, 0 111 797		ie_je a_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 394, 0 112 942		ie_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nima4, 869, 0 116 498		ie_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 47, 0 122 136		ie_je irai_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 68, 0 122 289		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 100, 0 122 538		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 154, 0 122 963		je_je oi_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 923, 0 128 709		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb1, 1382, 0 132 118		je_je estoie_être	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 31, 0 134 110		ge_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 368, 0 136 644		je_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 858, 0 140 335		ge_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimb2, 1320, 0 143 763		je_je estoie_être	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 61, 0 145 931		iou_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 239, 0 147 267		je_je encontrai_encontrer	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 479, 0 149 005		ie_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimc, 918, 0 152 232		ie_je aour_aorer	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 14, 0 156 685		io_je entend_entendre	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 236, 0 157 908		jo_je ai_avoir	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 533, 0 159 505		io_je aim_aimer	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 569, 0 159 696		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 623, 0 159 984		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 633, 0 160 037		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 653, 0 160 144		jo_je enfantai_enfanter	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, teo2, 753, 0 160 677		jo_je ai_avoir	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nimd, 487, 0 166 141		jou_je aime_aimer	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, aiol, 885, 0 176 880		jou_je aie_avoir	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, aiol, 931, 0 177 057		jou_je estoi_être	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, eneas, 628, 0 183 187		jo_je avrai_avoir	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chaitH, 2, 0 192 502		io_je oi_avoir	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chaitH, 29, 0 192 662		io_je uoil_vouloir	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, elid, 3, 0 197 551		jeo_je entent_entendre	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, elid, 193, 0 198 580		jeo_je irai_aller	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, elid, 339, 0 199 379		jeo_je aim_aimer	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, equiH, 74, 0 204 677		ieo_je uoil_vouloir	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, equiH, 88, 0 204 764		ieo_je uoil_vouloir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, equiS, 79, 0 206 544		ie_je ueil_vouloir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, equiS, 93, 0 206 635		ie_je ueil_vouloir	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigH, 136, 0 208 715		io_je uoldrai_vouloir	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigH, 326, 0 209 827		ieo_je oi_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigP, 131, 0 213 842		ie_je uauroie_valoir	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigP, 315, 0 214 920		jou_je oi_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigS, 118, 0 218 849		ie_je uodroie_vouloir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigS, 295, 0 219 874		ie_je oi_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, guigS, 517, 0 221 168		ie_je uoil_vouloir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalC, 294, 0 224 748		jo_je aime_aimer	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalH, 293, 0 228 556		io_je aim_aimer	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalH, 615, 0 230 469		ieo_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalP, 292, 0 232 342		je_je aim_aimer	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalS, 291, 0 236 072		ie_je aim_aimer	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, lanvalS, 619, 0 238 028		je_je ai_avoir	
jeo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, laustH, 107, 0 238 840		jeo_je ai_avoir	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, milunH, 42, 0 242 349		ieo_je irai_aller	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, milunH, 192, 0 243 205		ieo_je irai_aller	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcA, 686, 0 250 161		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcA, 849, 0 251 511		je_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 671, 0 257 031		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 823, 0 258 313		ge_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcB, 868, 0 258 691		ge_je oubliasse_oublier	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcC, 732, 0 264 392		jou_je ai_avoir	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcC, 781, 0 264 823		jou_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcC, 917, 0 265 898		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcD, 186, 0 268 078		je_je ai_avoir	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, narcD, 345, 0 269 387		je_je ai_avoir	
ieo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, yonecH, 245, 0 273 398		ieo_je erc_être	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 208, 0 341 032		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 320, 0 341 723		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 325, 0 341 747		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 344, 0 341 864		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 421, 0 342 347		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 670, 0 343 965		jo_je irrai_aller	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 673, 0 343 985		jo_je ensivrai_ensuivre	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, myst, 674, 0 343 992		jo_je irrai_aller	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 21, 0 347 618		ge_je uueil_vouloir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 383, 0 349 756		ie_je ai_avoir	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 1059, 0 353 787		ge_je uei_voir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 1777, 0 357 957		ie_je uei_voir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 1915, 0 358 790		ie_je ai_avoir	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pap, 2649, 0 363 022		ie_je eusse_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 212, 0 365 996		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 488, 0 369 316		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 633, 0 371 059		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 804, 0 373 106		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 911, 0 374 399		jo_je ai_avoir	
jo, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, reis, 913, 0 374 417		jo_je oi_avoir	
