Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, raou, 251, 1 198 746		j_y ann_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, raou, 1812, 1 210 500		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, raou, 1877, 1 210 984		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, ADVgen, je, jà, raou, 1998, 1 211 904		j_jà an_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, graal, 74, 1 272 663		j_je en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 331, 1 279 208		g_je i_y	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 536, 1 280 469		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nic, 560, 1 280 618		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 666, 1 281 271		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nic, 787, 1 282 010		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nic, 835, 1 282 319		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 850, 1 282 421		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nic, 897, 1 282 721		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, nic, 1066, 1 283 774		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, nic, 1088, 1 283 911		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evratC2, 323, 1 288 599		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, evratC2, 733, 1 291 140		g_je i_y	
j, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|y, y, evrat1, 479, 1 299 170		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 479, 1 299 175		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 1857, 1 307 630		j_y en_en	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, evrat1, 1930, 1 308 080		j_y en_en	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, evrat1, 2686, 1 312 806		g_je i_y	
