Référence	ContexteGauche	Pivot	ContexteDroit
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1355, 0 533 487		j_y oisse_ouïr	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1356, 0 533 494		j_y oie_ouïr	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1378, 0 533 641		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1472, 0 534 179		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1941, 0 537 104		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1983, 0 537 365		j_y ancontrai_encontrer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 1995, 0 537 441		j_y ancontrai_encontrer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, chret2, 2140, 0 538 350		j_je es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 2386, 0 539 879		j_y es_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 2880, 0 542 918		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, chret2, 2986, 0 543 569		j_y aie_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 337, 0 582 485		j_y ai_avoir	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 471, 0 583 249		g_je iere_être	
g, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesC, 472, 0 583 255		g_je iere_être	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 1148, 0 586 992		j_y ause_ausser	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 3321, 0 599 228		j_y aimme_aimer	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 3322, 0 599 236		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesC, 3354, 0 599 424		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesK, 317, 0 613 507		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesK, 1384, 0 619 609		j_y ai_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesK, 1950, 0 622 887		j_y oi_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesK, 2050, 0 623 497		j_y afierai_affier	
i, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, il|je, y, fablesL, 84, 0 626 322		i_y a_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fablesL, 417, 0 628 164		j_je a_avoir	
j, PRO:pers:suj:1:sg:unb, PRO:pers, PROadv, je, y, fablesM, 414, 0 639 420		j_y ai_avoir	
i, PRO:pers:suj:1:sg:unb, PRO:clit, PROadv, i2|i|y, y, fablesT, 83, 0 648 526		i_y ai_avoir	
