word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rome;416;1 034 899;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;rome;995;1 038 404;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romi;892;1 057 314;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romk;710;1 062 178;a;à;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;roml;407;1 069 417;en;en;PRE
ie;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romm;647;1 079 880;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;romo;405;1 089 561;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;66;1 096 689;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;351;1 098 472;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;425;1 098 954;a;à;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;trib;426;1 098 961;a;à;PRE
jou;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;elie;1822;1 151 725;en;en;PRE
je;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;herm;1768;1 192 759;en;en;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;244;1 232 295;a;à;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;1179;1 240 312;od;o;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbH;1218;1 240 639;en;en;PRE
ieo;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;sergbO;244;1 249 109;a;à;PRE
