word;pos;ttpos;rrnpos;ttlemma;rnnlemma;id;s_line;position;word2;word2lemma;category
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;percevalb;5362;0 732 592;em;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;percevalb;6768;0 741 168;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perf;387;0 757 575;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perf;1047;0 761 674;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perf;1152;0 762 337;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;perl;663;0 781 491;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:pers;PROadv;il|je;y;perl;738;0 781 963;an;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perl;1498;0 786 719;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perm;707;0 793 947;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;293;0 803 593;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;576;0 805 287;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perp;641;0 805 704;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROper;i2|i|y;il;perp;1402;0 810 447;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perpraag;268;0 814 921;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perq;88;0 815 579;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;perq;593;0 818 661;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROadv;i2|i|y;y;perr;630;0 828 702;en;en;PROadv
i;PRO:pers:suj:1:sg:unb;PRO:clit;PROimp;i2|i|y;il;perr;1378;0 833 340;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;595;0 840 004;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;759;0 841 044;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;843;0 841 573;en;en;PROadv
g;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pers;1357;0 844 731;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;642;0 851 686;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;707;0 852 103;en;en;PROadv
j;PRO:pers:suj:1:sg:unb;PRO:pers;PROper;je;je;pert;1474;0 856 903;en;en;PROadv
