word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; s_line; position
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 401; 0 514 084
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 401; 0 514 094
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 519; 0 516 407
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROadv; i2|i|y; y; chret1; 599; 0 517 964
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret1; 741; 0 520 957
i; PRO:pers:suj:1:sg:unb; PRO:clit; PROimp; i2|i|y; il; chret1; 773; 0 521 721
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 269; 0 526 794
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 344; 0 527 263
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 346; 0 527 279
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 476; 0 528 074
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 562; 0 528 576
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 573; 0 528 644
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 587; 0 528 735
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 994; 0 531 205
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1343; 0 533 394
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1346; 0 533 416
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1355; 0 533 487
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1356; 0 533 494
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1378; 0 533 641
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1472; 0 534 179
g; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 1491; 0 534 298
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1662; 0 535 327
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 1727; 0 535 742
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1941; 0 537 104
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1983; 0 537 365
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROadv; je; y; chret2; 1995; 0 537 441
j; PRO:pers:suj:1:sg:unb; PRO:pers; PROper; je; je; chret2; 2140; 0 538 350
